school,k0607,k1617
Hjorth Road Elementary,16.7,20.3
Port Kells Elementary,12,18
Cloverdale Traditional,22,19.5
White Rock Elementary,22,18.7
Colebrook Elementary,21,19
East Kensington Elementary,15,17
Halls Prairie Elementary,18,20.6
Sullivan Elementary,13,17.6
Harold Bishop Elementary,17.3,17
Crescent Park Elementary,16.5,19
Bridgeview Elementary,19,21
J T Brown Elementary,16.2,20
Latimer Road Elementary,19.5,21.3
Ray Shepherd Elementary,14.5,21.6
Dr F D Sinclair Elementary,19.8,19.7
Sunnyside Elementary,12.5,20.9
Surrey Centre Elementary,18,17.3
K B Woodward Elementary,19,20.4
Green Timbers Elementary,20.4,20.3
Prince Charles Elementary,18,18
Mountainview Montessori,20.5,20
A H P Matthew Elementary,17.9,20.1
T E Scott Elementary,17.5,22
Mary Jane Shannon Elementary,14.7,21
Lena Shaw Elementary,17.4,17.3
H T Thrift Elementary,13,18
William Watson Elementary,20,19.5
David Brankin Elementary,14.3,19.3
Ecole Riverdale Elementary,16.5,20.7
Senator Reid Elementary,16.3,22
Martha Currie Elementary,21.3,20.3
James Ardiel Elementary,20.8,19.6
McLeod Road Traditional,16.8,22
Old Yale Road Elementary,21,17.7
Erma Stephenson Elementary,17,20
Bear Creek Elementary,16.3,18.3
Peace Arch Elementary,20,20.3
Henry Bose Elementary,16.7,18.2
Newton Elementary,20.7,18
Cedar Hills Elementary,16.3,18.9
Royal Heights Elementary,21.8,20.5
Surrey Traditional,20,18
Holly Elementary,19.7,19
Georges Vanier Elementary,17.3,19.4
Ellendale Elementary,12.5,20.3
Simon Cunningham Elementary,18.3,20.3
Jessie Lee Elementary,13,20.4
George Greenaway Elementary,16.6,19
Betty Huff Elementary,17.3,18.5
Strawberry Hill Elementary,17.5,17.3
Cindrich Elementary,19.3,19.4
Creekside Elementary,21,19
W E Kinvig Elementary,13.7,22
Laronde Elementary,19.3,21
South Meridian Elementary,19,21.9
Don Christian Elementary,18.5,21
Bonaccord Elementary,17,18
M B Sanford Elementary,15,22
Maple Green Elementary,20,20.7
Hyland Elementary,18.5,20.6
Kennedy Trail Elementary,18,19.5
Pacific Heights Elementary,18.2,17.5
Berkshire Park Elementary,21.5,20
Panorama Park Elementary,15.5,20
North Ridge Elementary,18.3,17.5
Cougar Creek Elementary,18,17.7
Martha Jane Norris Elementary,19.6,21.5
Fraser Wood Elementary,17,20.7
Serpentine Heights Elementary,15.5,16
Boundary Park Elementary,16,19
Woodland Park Elementary,18.4,15.7
Brookside Elementary,16.5,19.8
Westerman Elementary,19.3,20.2
Chantrell Creek Elementary,22,17
Sunrise Ridge Elementary,22,19
Cambridge Elementary,19.7,20.4
Walnut Road Elementary,21.7,20.4
Coast Meridian Elementary,19.5,19
Coyote Creek Elementary,14.7,17.8
Beaver Creek Elementary,18,19.3
Dogwood Elementary,16,19
Frost Road Elementary,20.9,21.2
Semiahmoo Trail Elementary,15.5,21.4
Bayridge Elementary,20,20.2
Chimney Hill Elementary,18,21.3
Ocean Cliff Elementary,16.5,20
William F. Davidson Elementary,19.3,19.7
Bothwell Elementary School,17.1,20.8
Kirkbride Elementary,19.2,17.6
Hillcrest Elementary,17.5,20.4
A J McLellan Elementary,18.3,18.3
Forsyth Road Elementary,19,21
Janice Churchill Elementary,16.3,20.5
Morgan Elementary,18.7,21.5
